time,x,y,z
8248,-0.53317,0.28994,-1.73558
8298,-1.21856,0.25268,-1.07035
8349,-0.76041,1.42126,-1.44420
8398,-0.96322,-0.45532,-0.70627
8449,-0.47453,-0.04482,0.21308
8498,0.78080,1.02847,-1.08257
8549,0.45093,0.35958,-0.42283
8598,0.98116,-0.02160,-0.83333
8648,1.62807,1.70409,-1.07218
8698,0.71422,1.12316,0.06281
8748,0.64702,0.23435,0.57410
8799,0.69833,0.10912,0.36152
8862,0.93962,0.25756,0.40856
8898,0.92130,0.70594,0.55394
8949,0.11251,1.11400,1.12571
8998,0.63236,-0.35208,1.44580
9049,-0.10862,-0.15050,0.75369
9098,-0.41344,-1.33252,1.42503
9149,0.42650,0.26489,0.91557
9199,0.83700,0.26856,1.86852
9248,0.53829,0.45182,2.19717
9299,-1.64556,-0.72899,1.19046
9349,0.11557,-0.86765,1.38350
9398,-1.61074,-0.44677,-0.96406
9449,-0.92474,0.43960,-0.46193
9499,-0.97788,-0.02038,-1.36540
9548,-0.48552,1.03764,-1.53339
9599,-0.13794,-0.01122,-1.71970
9648,-0.86121,-1.56831,-2.42464
9699,-0.61808,-0.91713,-1.57859
9748,0.43383,0.65768,-0.85044
9799,-1.70054,-0.39240,-1.45825
9852,-0.87526,-0.70883,-0.59082
9898,-0.28638,0.13233,-0.91214
9949,0.08319,0.63141,-1.07096
9998,0.38252,0.21175,-0.41184
10049,0.11068,0.80245,-0.69345
10099,0.68917,0.53123,-0.27134
10149,0.58410,0.31621,-0.46804
10198,0.32143,0.26795,-0.22491
10249,0.11862,0.63752,0.10251
10298,0.18765,0.85865,0.03532
10348,0.84861,0.40234,0.39267
10398,0.37702,0.35347,0.82639
10448,0.53340,-0.37163,1.27598
10498,0.83639,0.72243,1.54843
10548,0.39657,0.25512,1.33035
10598,0.50713,0.22885,1.44886
10648,0.17360,0.61370,0.33036
10699,-0.10557,0.13233,0.49102
10748,-0.51485,-0.71921,0.71765
10799,0.35197,-0.29527,0.52890
10855,0.67451,0.00527,1.37922
10899,-0.08846,0.09752,1.47329
10949,0.37457,-0.05459,2.07866
10999,0.25362,-0.31115,0.31387
11049,-0.54111,-0.55978,1.39632
11099,-0.41100,-1.29465,-0.39290
11149,-0.59243,0.25390,-0.49858
11199,-0.58204,-0.35330,-0.96162
11248,-0.11839,-0.52801,-0.55417
11299,0.00683,-0.11445,-1.82171
11349,-0.84227,-0.06375,-2.00803
11398,-0.54050,0.26367,-1.32264
11449,-1.01881,0.27100,-0.81684
11498,-1.01820,0.43166,-0.95490
11549,-1.62845,-0.09246,-1.06363
11599,-1.07012,-0.07475,-1.15098
11648,-0.46109,0.53306,-0.51202
11699,-0.06830,0.43838,-1.35013
11749,0.29577,1.09017,-0.96956
11798,-0.33769,0.04193,-0.15588
11861,0.41489,0.01871,0.24362
11899,0.50163,0.02666,0.12450
11949,1.05325,0.36752,-0.32265
12000,0.87915,0.45243,-0.08319
12050,0.98727,0.34369,0.23935
12100,0.77530,0.52756,0.68711
12149,0.50896,0.21480,1.27843
12198,0.35442,-0.26290,1.37250
12250,0.18459,-0.31848,1.23200
12299,0.37152,-0.56772,1.17580
12349,-0.18559,0.37668,1.64495
12399,-0.53867,0.67417,1.87219
12451,0.69283,0.29421,2.48916
12499,0.29089,1.18241,0.72376
12550,-0.81783,0.62469,0.86609
12598,-0.44582,-1.32824,2.11287
12649,-1.91739,-2.13275,0.66817
12698,0.20903,0.23740,0.21369
12749,-0.61808,-0.79618,-0.79363
12799,-2.31384,-1.35390,-0.05815
12849,-0.17826,-0.15050,-1.79239
12909,-0.68589,1.59536,-2.53887
12949,-1.68282,0.30643,-0.81928
12998,-1.81843,-0.66973,0.55822
13048,-1.12449,0.16349,0.23507
13098,-0.72376,0.75969,-0.86143
13149,0.06670,0.43288,-1.25727
13199,-0.30349,0.50191,-1.18336
13248,-0.20025,0.09080,-0.76125
13299,0.35197,0.35041,-1.21085
13349,-0.45742,-0.01366,-0.02272
13398,0.63419,-0.83589,0.35602
13449,1.20352,1.03703,-0.15894
13498,0.68734,1.29542,0.09213
13549,0.52668,0.53367,1.40060
13599,0.49858,-0.07597,2.08416
13649,0.34953,0.20503,1.40549
13699,0.35564,0.20136,1.15564
13749,-0.31448,0.31804,0.62908
13799,-0.57838,-0.15966,1.69076
13849,-1.08051,0.19648,1.73047
13899,0.12595,0.57277,1.19657
13954,-0.01333,1.10850,1.03591
13999,-0.13611,1.12377,1.05852
14049,-1.51483,-1.19996,0.88320
14098,-1.36639,-0.36796,0.60220
14149,0.01355,0.57888,0.13122
