time,x,y,z
8398,-9.73273,-2.05668,7.51323
8449,-9.19162,-0.74941,10.09666
8498,-6.60341,-0.85954,6.67763
8549,-8.08068,-0.25619,7.25705
8598,-8.58108,1.27375,8.04955
8648,-10.56115,0.05507,6.67763
8698,-10.36242,0.46210,5.39430
8748,-10.22834,1.27854,5.94738
8799,-9.70160,2.22907,6.15329
8861,-10.60424,2.53075,7.37437
8898,-10.41031,2.14766,7.62098
8949,-6.11019,-1.35755,3.80690
8998,-4.46053,-0.82363,3.47170
9049,-5.51401,3.95295,2.35357
9098,-7.17564,6.70636,5.17882
9149,-6.16765,6.12934,5.68640
9199,-8.14532,4.11576,5.39909
9248,0.76617,3.13889,2.14527
9299,-6.19878,4.07984,3.02397
9348,0.62969,3.82126,5.03037
9398,-6.48370,0.53392,3.31846
9449,-8.07589,-0.90743,7.44619
9499,-9.90990,-0.71828,6.55792
9548,-7.06072,-3.03115,7.11818
9599,-7.41507,-4.89390,5.73429
9648,-9.35204,-4.25223,6.69679
9699,-11.08789,-2.81567,7.92505
9748,-5.73668,-3.86436,4.46293
9799,-6.79495,-1.91303,5.84921
9852,-11.24112,-1.96091,10.51087
9898,-9.97934,-3.56747,9.62020
9949,-10.69762,-3.91464,8.72713
9998,-10.27623,-3.43339,8.78459
10049,-9.86681,-1.83162,7.73830
10099,-8.77502,-2.84440,6.51243
10149,-9.16528,-3.02876,5.53317
10198,-8.10941,-1.17559,4.24984
10249,-8.98332,-0.11253,6.72791
10298,-7.16606,1.56825,5.66725
10348,-8.32250,1.97049,6.94819
10398,-7.41028,1.96809,5.43261
10448,-9.31612,1.34319,6.80692
10498,-7.85562,-0.13647,6.60820
10548,-9.05754,-1.47487,5.73908
10598,-7.66886,-0.37351,5.96414
10648,-6.06709,0.76617,2.89228
10699,-7.63055,1.27615,3.14608
10748,-6.61299,4.62813,4.39828
10799,-6.21554,7.05593,4.55630
10855,-7.84604,6.05991,3.95055
10899,-7.88195,4.58025,3.11016
10949,-3.49564,4.26899,5.32966
10999,-3.69197,0.99123,1.15404
11049,-7.07508,1.16362,6.48130
11099,-7.07748,-0.41900,4.84362
11149,-7.24508,-0.44534,8.83248
11199,-7.72872,-0.83800,5.88513
11248,-8.12138,-2.91623,8.23870
11299,-6.61059,-2.43258,6.32567
11349,-8.47094,-1.58501,5.84682
11398,-7.16846,-1.35516,5.73429
11449,-7.05353,-1.94415,6.40229
11498,-6.47651,-1.21150,6.33286
11549,-7.75745,-0.72307,7.31930
11599,-13.33372,-1.97528,9.73273
11648,-9.97694,-1.70233,9.84526
11699,-13.00809,-3.45494,10.60903
11749,-10.09426,-1.64247,7.17325
11798,-11.38717,-2.08541,6.65369
11860,-9.06472,-1.73824,7.23071
11899,-8.64094,-1.61374,6.47651
11949,-8.98811,-0.86673,7.68802
12000,-6.64172,-0.54829,4.43180
12049,-8.13335,-0.00958,4.71912
12100,-7.62816,-0.58181,3.33762
12149,-7.91787,-0.33999,3.60338
12198,-6.52200,-0.07662,3.42381
12249,-8.18842,-0.13887,4.11336
12299,-7.66647,1.24502,4.86517
12349,-12.86923,2.75820,6.70397
12399,-6.67763,5.36557,6.39511
12450,-3.81887,5.51880,5.48768
12499,-1.21150,3.71591,-0.07422
12549,-1.86275,2.67440,1.26418
12598,-4.30012,0.56265,0.26098
12649,-5.31050,0.92898,3.57226
12698,-8.70319,0.18915,11.04479
12749,-3.33522,-1.72627,3.00960
12799,-7.91308,-1.39347,10.79818
12849,-8.29137,-4.72390,12.70402
12908,-10.27144,-4.97530,6.97213
12949,-11.25549,-5.10938,7.26662
12998,-12.22756,-4.65686,10.18285
13048,-7.64253,-2.51159,9.79258
13098,-7.01283,-1.82683,8.74629
13149,-7.81970,-1.38868,8.26025
13198,-9.48372,-1.01278,6.82368
13248,-9.87638,0.51716,7.78858
13298,-11.49012,-0.00479,5.50683
13349,-10.99690,1.09179,7.90350
13398,-10.99690,1.02954,8.33926
13449,-9.85244,1.68318,8.23391
13498,-8.49010,0.90504,3.56986
13549,-8.08307,-1.01038,5.67683
13598,-4.73109,-1.75500,5.22670
