time,x,y,z
7348,46.44000,14.88000,-4.98000
7399,47.64000,11.10000,-5.40000
7449,49.20000,7.92000,-5.10000
7498,48.90000,4.86000,-6.30000
7549,49.14000,2.76000,-6.96000
7598,49.50000,-0.06000,-6.96000
7649,49.38000,-2.52000,-8.64000
7699,49.98000,-4.38000,-9.54000
7750,49.20000,-6.48000,-10.44000
7799,48.72000,-6.72000,-11.76000
7854,47.10000,-8.88000,-12.42000
7898,46.98000,-8.10000,-12.36000
7949,46.44000,-10.50000,-15.60000
7999,46.80000,-13.14000,-14.22000
8049,46.32000,-13.32000,-12.90000
8101,46.32000,-11.10000,-13.68000
8149,46.68000,-6.78000,-16.68000
8199,46.74000,-2.64000,-15.36000
8248,47.52000,-0.72000,-15.78000
8298,46.56000,5.58000,-14.04000
8349,46.68000,8.16000,-13.26000
8398,47.04000,12.00000,-10.14000
8449,45.48000,13.50000,-10.32000
8498,46.02000,14.40000,-9.60000
8549,46.20000,15.66000,-8.40000
8598,45.60000,16.20000,-9.12000
8648,45.18000,17.10000,-8.52000
8698,44.76000,18.78000,-6.54000
8748,45.30000,18.06000,-4.32000
8799,46.26000,17.04000,-4.92000
8862,45.84000,15.72000,-5.40000
8898,46.20000,15.42000,-5.40000
8949,47.82000,12.78000,-1.44000
8998,47.82000,10.02000,-0.18000
9049,48.90000,6.84000,-1.68000
9098,49.44000,5.28000,-2.28000
9149,49.02000,2.04000,-4.68000
9199,49.68000,-0.60000,-4.20000
9248,49.26000,-6.24000,-3.18000
9299,48.06000,-9.60000,-2.76000
9348,47.28000,-13.32000,-6.24000
9398,45.54000,-13.92000,-7.20000
9449,44.82000,-12.72000,-9.12000
9499,45.96000,-10.80000,-9.30000
9548,47.28000,-7.56000,-9.48000
9599,47.52000,-3.54000,-7.44000
9648,47.10000,1.08000,-8.40000
9699,46.38000,6.30000,-11.82000
9748,45.00000,9.78000,-12.36000
9799,44.70000,11.52000,-12.24000
9852,43.08000,15.36000,-11.64000
9898,43.02000,17.94000,-12.96000
9949,41.34000,19.56000,-11.64000
9998,41.22000,21.24000,-10.20000
10049,40.92000,22.68000,-10.86000
10099,41.64000,23.10000,-9.30000
10149,40.68000,23.52000,-9.00000
10198,40.32000,24.72000,-8.70000
10249,39.84000,23.94000,-9.36000
10298,40.56000,24.06000,-7.86000
10348,40.74000,23.76000,-6.84000
10398,41.46000,22.68000,-6.78000
10448,42.60000,21.48000,-6.54000
10498,44.04000,17.94000,-7.68000
10548,45.18000,14.52000,-7.80000
10598,46.44000,11.88000,-6.72000
10648,47.04000,8.76000,-6.30000
10699,46.80000,8.16000,-6.06000
10748,47.10000,5.88000,-7.08000
10799,47.76000,4.74000,-7.62000
10855,48.30000,2.88000,-9.18000
10899,48.30000,-0.66000,-9.66000
10949,47.40000,-3.42000,-9.54000
10999,46.38000,-7.56000,-9.42000
11049,46.62000,-8.94000,-10.62000
11099,46.08000,-10.80000,-12.66000
11149,44.70000,-10.14000,-14.22000
11199,45.60000,-9.48000,-13.98000
11248,46.44000,-6.24000,-14.94000
11299,45.84000,-4.56000,-16.32000
11349,45.84000,0.06000,-16.62000
11398,46.14000,4.50000,-16.68000
11449,45.42000,7.80000,-15.66000
11498,44.88000,10.26000,-14.82000
11549,45.12000,13.20000,-13.68000
11599,43.62000,16.56000,-12.60000
11648,41.94000,18.60000,-11.10000
11699,41.52000,21.24000,-9.12000
11749,41.88000,23.58000,-8.34000
11798,40.20000,24.96000,-6.72000
11860,40.80000,24.84000,-6.48000
11899,40.44000,24.78000,-6.54000
11949,40.20000,25.26000,-6.60000
12000,39.72000,26.16000,-7.08000
12049,39.72000,25.62000,-8.64000
12100,41.34000,24.42000,-9.30000
12149,41.40000,22.92000,-7.98000
12198,43.56000,19.38000,-8.76000
12249,44.64000,16.32000,-10.38000
12299,45.06000,13.74000,-9.90000
12349,45.72000,10.50000,-11.64000
12399,47.10000,7.08000,-10.32000
12451,48.42000,3.54000,-8.82000
12499,48.18000,-2.04000,-8.22000
12550,48.78000,-3.48000,-5.46000
12598,48.18000,-5.28000,-4.92000
12649,46.62000,-9.30000,-7.68000
12698,45.90000,-10.98000,-12.24000
12749,46.14000,-11.40000,-12.90000
12799,45.18000,-8.70000,-15.00000
12849,44.88000,-5.64000,-18.18000
12909,43.86000,-1.80000,-17.94000
12949,45.90000,3.30000,-15.18000
12998,44.94000,7.02000,-14.46000
13048,45.06000,7.14000,-15.42000
13098,45.54000,7.56000,-14.10000
13149,45.48000,10.20000,-12.72000
13199,45.36000,12.42000,-10.62000
13248,45.36000,14.70000,-10.44000
13299,43.98000,16.86000,-10.14000
13349,42.90000,19.56000,-8.34000
13398,43.32000,19.08000,-9.84000
13449,43.14000,18.30000,-10.98000
13498,43.32000,17.76000,-9.78000
13549,43.98000,16.50000,-7.98000
13599,45.48000,14.10000,-7.62000
13649,46.08000,9.30000,-8.46000
13699,47.10000,5.94000,-7.44000
13749,48.36000,3.00000,-7.20000
13799,47.82000,1.74000,-6.60000
13849,48.12000,-2.04000,-7.50000
13899,48.48000,-5.82000,-6.36000
13954,48.54000,-8.04000,-4.98000
13999,48.54000,-8.04000,-4.98000
14049,47.58000,-13.26000,-2.76000
14098,45.90000,-14.70000,-6.36000
14149,45.00000,-15.48000,-8.28000
14199,45.00000,-15.84000,-7.20000
14250,44.94000,-12.24000,-9.60000
14299,46.44000,-6.42000,-12.60000
14349,45.90000,-0.54000,-15.66000
14398,44.40000,2.34000,-16.62000
14449,44.22000,4.44000,-17.52000
14498,43.56000,7.20000,-17.04000
14549,43.02000,9.48000,-17.88000
14598,43.02000,10.74000,-18.06000
14649,42.90000,12.42000,-16.92000
14699,42.90000,15.12000,-15.36000
14748,42.96000,15.72000,-14.58000
14799,42.48000,16.38000,-14.28000
14848,43.62000,14.22000,-12.78000
14898,45.48000,12.66000,-10.98000
14958,46.92000,9.90000,-10.14000
14999,47.58000,3.48000,-10.62000
15048,47.70000,-2.22000,-9.42000
15098,48.42000,-6.36000,-9.06000
15149,46.68000,-11.88000,-7.92000
15199,45.30000,-15.24000,-5.94000
15250,43.80000,-19.50000,-5.64000
15299,41.82000,-24.66000,-5.94000
15349,39.96000,-26.52000,-4.20000
15399,38.22000,-30.66000,-5.82000
15450,34.74000,-33.66000,-7.92000
15499,31.62000,-35.22000,-9.12000
15548,31.32000,-34.62000,-11.52000
15598,29.82000,-35.16000,-13.38000
15649,28.68000,-34.98000,-15.00000
15698,29.28000,-34.98000,-15.54000
15749,30.42000,-33.54000,-15.90000
15799,32.22000,-30.30000,-20.22000
15849,33.06000,-26.10000,-23.58000
15899,34.08000,-22.32000,-26.28000
15955,35.28000,-18.54000,-27.96000
15998,35.82000,-16.20000,-28.02000
16048,37.80000,-12.60000,-29.22000
16099,38.94000,-10.38000,-27.12000
16148,39.42000,-6.78000,-27.36000
16198,41.10000,-3.36000,-26.34000
16250,40.26000,0.72000,-26.52000
16298,41.76000,3.24000,-25.20000
16349,41.58000,6.18000,-23.88000
16398,42.00000,7.56000,-21.96000
16449,42.06000,7.50000,-20.40000
16498,44.40000,4.56000,-18.12000
16549,45.66000,1.74000,-18.36000
16598,45.60000,-3.00000,-17.40000
16649,45.60000,-8.88000,-16.38000
16699,44.04000,-15.00000,-16.62000
16748,40.92000,-22.74000,-16.44000
16799,37.62000,-27.24000,-15.06000
16848,33.48000,-30.84000,-15.84000
16898,29.40000,-33.96000,-18.06000
16957,28.20000,-34.38000,-18.54000
16998,28.50000,-34.44000,-18.90000
17050,24.66000,-34.62000,-21.84000
17101,26.28000,-33.72000,-21.78000
17149,27.48000,-30.54000,-24.36000
17199,29.28000,-26.40000,-28.02000
17249,28.92000,-24.24000,-29.34000
17298,30.24000,-22.32000,-29.82000
17349,31.98000,-19.44000,-29.82000
17399,33.00000,-18.00000,-29.88000
17450,33.96000,-14.58000,-30.84000
17499,35.70000,-12.06000,-31.08000
17550,35.34000,-9.84000,-31.44000
17599,36.36000,-5.64000,-31.44000
17649,35.82000,-2.40000,-32.16000
17700,36.36000,1.14000,-31.14000
17749,37.44000,3.12000,-30.54000
17799,36.84000,4.14000,-29.70000
17850,37.02000,5.40000,-30.42000
17899,37.50000,6.18000,-29.34000
17959,38.88000,6.30000,-27.12000
17998,39.48000,6.36000,-26.70000
18049,39.54000,0.54000,-27.60000
18098,40.32000,-2.04000,-25.32000
18149,41.10000,-5.40000,-25.26000
18199,40.38000,-11.34000,-24.48000
18249,40.14000,-16.20000,-21.90000
18299,37.74000,-21.48000,-22.26000
18349,34.26000,-28.68000,-20.16000
18398,28.50000,-32.28000,-19.74000
18449,23.34000,-35.28000,-21.48000
18498,18.42000,-35.40000,-25.08000
18549,17.64000,-34.50000,-27.06000
18598,16.98000,-32.64000,-31.02000
18648,15.78000,-31.14000,-32.88000
18699,17.88000,-29.04000,-33.30000
18748,20.10000,-26.70000,-33.30000
18799,21.36000,-26.46000,-34.62000
18849,22.86000,-22.98000,-35.82000
18899,22.92000,-20.10000,-37.38000
18968,23.64000,-17.34000,-38.22000
19000,23.34000,-15.78000,-38.70000
19049,23.58000,-11.88000,-40.74000
19098,23.16000,-10.26000,-40.86000
19149,22.98000,-7.86000,-41.04000
19199,23.22000,-7.32000,-42.30000
19249,23.94000,-5.64000,-41.16000
19298,25.38000,-4.08000,-41.04000
19349,24.78000,-4.56000,-40.56000
19398,26.04000,-5.04000,-40.44000
19449,26.94000,-4.74000,-39.30000
19498,27.96000,-4.20000,-39.18000
19548,27.60000,-7.02000,-39.30000
19599,30.06000,-8.58000,-37.68000
19648,30.30000,-10.62000,-35.70000
19699,29.46000,-12.72000,-36.12000
19749,30.18000,-17.40000,-33.60000
19799,30.54000,-17.52000,-34.08000
19848,29.10000,-16.80000,-35.28000
19898,28.26000,-17.28000,-35.10000
19960,26.58000,-14.64000,-38.10000
19998,25.98000,-14.34000,-38.88000
20048,25.32000,-10.62000,-40.32000
20099,25.56000,-9.42000,-39.78000
20149,25.74000,-9.30000,-41.04000
20199,25.86000,-12.00000,-40.86000
20248,26.28000,-14.64000,-39.30000
20299,24.78000,-15.30000,-38.94000
20349,23.88000,-17.22000,-39.06000
20398,21.96000,-17.10000,-39.06000
20449,21.60000,-15.42000,-40.56000
20499,21.36000,-13.38000,-40.50000
20548,22.26000,-10.98000,-42.06000
20599,20.22000,-8.52000,-42.96000
